GATE_5W_SB: 630><-1648.5><372><-1136><0><
GATE_5W_5W1: 2832><1224><1832><790><0><
GATE_5W_5W2: 933><-546><574><-400><0><
5W_SSPIRE: -1038><1273.5><-608><802><1><
5W_S01: 582><-1591.5><348><-1056><1><
5W_S02: -801><-538.5><-582><-396><0><
5W_S03: 318><454.5><164><266><0><
5W_S04: -921><603><-1416><-140><0><
5W_S05: 1734><1156.5><1108><734><0><
5W_SPIRE: -1032><1141.5><-736><524><0><
5W_P1: -1095><457.5><-778><268><0><
5W_SCAV1: 111><-1288.5><26><-896><0><
5W_A01: 132><-1600.5><40><-1104><0><
5W_A02: -756><-1081.5><-578><-742><0><
5W_A03: -804><-922.5><-578><-660><0><
5W_A04: -984><-1036.5><-704><-728><0><
5W_A05: -16.5><-954><-64><-678><0><
5W_A06: -204><-943.5><-184><-666><0><
5W_A09: -918><130.5><-660><50><0><
5W_A10: -972><-258><-696><-212><0><
5W_A11: -744><-934.5><-578><-578><1><
5W_A12: -1284><262.5><-904><138><0><
5W_A13: -1329><424.5><-942><246><0><
5W_A14: -1083><322.5><-788><178><0><
5W_A15: -405><160.5><-318><71><1><
5W_A16: -213><190.5><-108><-72><0><
5W_A17: 363><787.5><194><488><0><
5W_A18: 471><538.5><266><322><0><
5W_A19: 252><906><120><568><0><
5W_A20: -342><-24><-212><-78><0><
5W_A21: 540><210><312><104><0><
5W_A22: 801><865.5><486><540><0><
5W_A23: 726><-429><436><-322><0><
5W_A24: 630><856.5><372><534><0><
5W_A25: 1425><880.5><902><550><0><
5W_A26: 1956><802.5><1256><498><0><
5W_A27: 1485><1171.5><942><724><0><
5W_A28: 1716><712.5><1096><438><0><
5W_A29: 1725><646.5><1156><344><1><
5W_A31: 1137><754.5><710><466><0><
5W_A35: 732><-567><440><-414><0><
5W_B01: 381><-1648.5><154><-1136><0><
5W_B03: -462><-1171.5><-464><-756><0><
5W_B04: -144><-1189.5><-232><-762><1><
5W_B06: -102><-823.5><-168><-586><0><
5W_B09X: -711><-253.5><-574><-206><0><
5W_B10: -588><-79.5><-338><-184><1><
5W_B11: -906><190.5><-536><90><1><
5W_B12: -1119><-193.5><-794><-206><0><
5W_B13: -669><567><-1400><-66><0><
5W_B14: -324><618><-316><376><0><
5W_B15: -621><-1.5><-462><-78><0><
5W_B18: 372><261><200><98><0><
5W_B20: 486><951><224><598><0><
5W_B22: 366><667.5><144><408><0><
5W_B23X: 1464><1000.5><876><630><0><
5W_B24: 1698><859.5><1032><536><0><
5W_B25: 1755><1033.5><1122><612><0><
5W_B28: 1437><724.5><858><446><0><
5W_B29: 861><736.5><474><454><0><
5W_B30: 1479><697.5><920><362><1><
5W_C01: -42><-1426.5><-76><-1068><0><
5W_C02X: -219><-1186.5><-298><-828><0><
5W_C04: -960><-541.5><-688><-478><0><
5W_C06X: -1062><-823.5><-808><-626><0><
5W_C07: 189><-1183.5><26><-808><1><
5W_C10: -879><-52.5><-686><-112><0><
5W_C11: -1212><52.5><-908><-42><0><
5W_C12: -375><142.5><-324><-22><0><
5W_C13: -717><307.5><-630><168><0><
5W_C14: 51><388.5><-66><182><0><
5W_C15: -66><121.5><-170><4><1><
5W_C17: 1119><892.5><594><558><0><
5W_D01: 39><685.5><-74><340><0><
5W_D02: 969><1027.5><442><648><0><
5W_OUTSIDE1: 90><946.5><12><574><0><
5W_OUTSIDE2: -792><741><-628><458><0><
5W_OUTSIDE5: -1290><604.5><-908><366><0><
5W_OUTSIDE6: -1113><721.5><-842><444><0><
OffScreenDen_5W: -327><-186><-508><416><0><
Connection: GATE_5W_SB,5W_B01,11,19,90,25,1,1
Connection: GATE_5W_5W2,5W_A35,2,12,39,14,2,0
Connection: 5W_SSPIRE,5W_SPIRE,26,26,24,182,1,3
Connection: 5W_S01,5W_B01,10,16,96,11,2,3
Connection: 5W_S02,5W_C04,24,16,18,51,2,3
Connection: 5W_S03,5W_C14,21,11,90,43,2,0
Connection: 5W_S04,5W_B13,24,11,28,21,3,1
Connection: 5W_S05,5W_B25,26,12,28,50,3,1
Connection: 5W_SPIRE,5W_OUTSIDE6,20,4,71,2,3,3
Connection: 5W_P1,5W_OUTSIDE5,11,30,19,3,1,0
Connection: 5W_P1,5W_A14,20,8,25,21,0,2
Connection: 5W_SCAV1,5W_C01,6,13,30,98,2,1
Connection: 5W_A01,5W_C01,8,28,6,5,1,3
Connection: 5W_A01,5W_B01,41,4,4,18,3,1
Connection: 5W_A02,5W_A11,7,33,10,6,1,2
Connection: 5W_A02,5W_B03,46,6,10,13,0,2
Connection: 5W_A02,5W_A04,10,5,39,5,3,3
Connection: 5W_A03,5W_C06X,7,16,78,8,1,3
Connection: 5W_A04,5W_C06X,6,6,16,9,2,3
Connection: 5W_A05,5W_B06,43,35,93,21,0,0
Connection: 5W_A05,5W_A06,8,17,40,6,3,0
Connection: 5W_A05,5W_B04,30,6,96,29,3,1
Connection: 5W_A09,5W_B11,7,12,92,5,2,0
Connection: 5W_A09,5W_C10,42,11,55,64,0,1
Connection: 5W_A10,5W_B09X,44,32,40,5,1,0
Connection: 5W_A10,5W_B12,6,9,29,5,2,3
Connection: 5W_A10,5W_C04,28,6,23,94,3,3
Connection: 5W_A12,5W_A13,12,27,37,8,0,0
Connection: 5W_A12,5W_B11,39,13,51,23,3,1
Connection: 5W_A12,5W_C11,5,4,9,67,3,1
Connection: 5W_A13,5W_A14,33,21,11,8,0,2
Connection: 5W_A14,5W_C13,57,19,16,19,0,2
Connection: 5W_A15,5W_C13,25,28,145,11,1,0
Connection: 5W_A15,5W_A16,25,2,18,29,3,0
Connection: 5W_A16,5W_C14,35,15,37,10,3,2
Connection: 5W_A16,5W_B15,20,9,33,67,0,1
Connection: 5W_A17,5W_B22,3,3,27,30,2,1
Connection: 5W_A18,5W_B22,23,27,85,5,1,3
Connection: 5W_A18,5W_B18,10,1,27,63,3,1
Connection: 5W_A19,5W_B20,44,24,8,11,0,2
Connection: 5W_A20,5W_C15,43,16,16,9,0,2
Connection: 5W_A20,5W_B15,3,7,46,17,2,0
Connection: 5W_A21,5W_B18,10,16,35,9,2,0
Connection: 5W_A22,5W_C17,41,26,9,18,0,2
Connection: 5W_A22,5W_B20,8,25,84,7,2,3
