DangerType: Flood
CeilingDrips: 0.5173907
RainIntensity: 1
RumbleIntensity: 1
WaveSpeed: 0.75
WaveLength: 0.5
WaveAmplitude: 0
SecondWaveLength: 0.1666667
SecondWaveAmplitude: 0
Clouds: 0.1847826
Grime: 0.7500004
BkgDroneVolume: 0.1159419
BkgDroneNoThreatVolume: 1
RandomItemDensity: 0.5
RandomItemSpearChance: 0.2
WaterReflectionAlpha: 1
Palette: 3333
EffectColorA: 15
EffectColorB: 14
Effects: ModifyEffectColorB-0.97971,0.3724636,0.3028986-20-20, 
AmbientSounds: OMNI><AM_ENV-CityTone.ogg><2.927551><557.1349><0.1985513><1, OMNI><SO_WAT-MoreDrips.ogg><12.70786><418.8665><0.3086955><1, OMNI><SO_WAT-LilDrips.ogg><11.81078><483.3982><0.215942><1, 
